flavors,vm !=1(trap),vm==0时vd==0(trap),vstart !=0(trap),不支持的sew,,,,不支持的lmul,,,,,,,reg index对齐,,,,,,,,,,,,,,,,,,,,,if(lmul<1) overlap($); else overlap_widen($),,"if($<1) overlap(vd,lmul,vs2,$); else overlap_widen((vd,lmul,vs2,$)",,,reg index不相等,,,,,其他,,,,,index load,1/8 <= emul <=8(emul=lmul*eew/sew),,no_constraint,instr,match,mask,has_vs2,has_vs1,is_ready
,,,,8,16,32,64,1/8,1/4,1/2,1,2,4,8,"align(vd,lmul)","align(vd,lmul*2)","align(vd,emul)","align(vs2,lmul)","align(vs2,emul)","align(vs2,lmul*2)","align(vs2,lmul/2)","align(vs2,lmul/4)","align(vs2,lmul/8)","align(vs1,lmul)","align(vs1,emul)","align(vd,2)","align(vd,4)","align(vd,8)","align(vs2,2)","align(vs2,4)","align(vs2,8)","align(vs3,2)","align(vs3,4)","align(vs3,8)","align(vs3,nfield)","(vd, lmul*2, vs2, lmul)","(vd, lmul*2, vs1, lmul)",lmul/2,lmul/4,lmul/8,vd != vs2,vd != vs2 && vd != vs1,"if(vd != vs2)overlap(vd,1,vs2,lmul)","if(vd != vs2)overlap(vd,1,vs2,lmul*2)","if(vd != vs1)overlap(vd,1,vs1,lmul)",vm==0 && vd==0 && lmul>1(trap),"overlap(vd,lmul,vs2,1)","overlap(vd,lmul,vs1,1)","overlap(vd,lmul,vs1,emul)",(nf*emul <= 8) && (vd+nf*emul <= 32),所有约束,eew=16,eew=width,134,instr,match,mask,,,
"vsra.vv vd, vs2, vs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,vsra.vv,0xa4000057,0xfc00707f,1,1,
"vsra.vx vd, vs2, rs1, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsra.vx,0xa4004057,0xfc00707f,1,0,
"vsra.vi vd, vs2, uimm, vm",,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,vsra.vi,0xa4003057,0xfc00707f,1,0,
"vnsrl.wv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,vnsrl.wv,0xb0000057,0xfc00707f,1,1,
"vnsrl.wx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,vnsrl.wx,0xb0004057,0xfc00707f,1,0,
"vnsrl.wi vd, vs2, uimm, vm",,1,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,vnsrl.wi,0xb0003057,0xfc00707f,1,0,
"vnsra.wv vd, vs2, vs1, vm",,1,,,,,1,,,,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,vnsra.wv,0xb4000057,0xfc00707f,1,1,
"vnsra.wx vd, vs2, rs1, vm",,1,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,vnsra.wx,0xb4004057,0xfc00707f,1,0,
"vnsra.wi vd, vs2, uimm, vm",,1,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,vnsra.wi,0xb4003057,0xfc00707f,1,0,
"vmseq.vv vd, vs2, vs1, vm",,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmseq.vv,0x60000057,0xfc00707f,1,1,
"vmseq.vx vd, vs2, rs1, vm",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmseq.vx,0x60004057,0xfc00707f,1,0,
"vmseq.vi vd, vs2, imm, vm",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmseq.vi,0x60003057,0xfc00707f,1,0,
"vmsne.vv vd, vs2, vs1, vm",,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,vmsne.vv,0x64000057,0xfc00707f,1,1,
"vmsne.vx vd, vs2, rs1, vm",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,vmsne.vx,0x64004057,0xfc00707f,1,0,
